,0
0,1
1,1
2,1
3,1
4,1
5,6
6,6
7,1
8,1
9,1
10,8
11,8
12,1
13,1
14,1
15,6
16,6
17,1
18,1
19,1
20,8
21,8
22,1
23,1
24,1
25,6
26,6
27,1
28,1
29,1
30,8
31,8
32,1
33,1
34,1
35,6
36,6
37,1
38,1
39,1
40,8
41,8
42,1
43,1
44,1
45,6
46,6
47,1
48,1
49,1
50,8
51,8
52,1
53,1
54,1
55,6
56,6
57,1
58,1
59,1
60,8
61,8
62,1
63,1
64,1
65,6
66,6
67,1
68,1
69,1
70,8
71,8
72,1
73,1
74,1
75,6
76,6
77,1
78,1
79,1
80,8
81,8
82,1
83,1
84,1
85,6
86,6
87,1
88,1
89,1
90,8
91,8
92,1
93,1
94,1
95,6
96,6
97,1
98,1
99,1
100,8
101,8
102,1
103,1
104,1
105,6
106,6
107,1
108,1
109,1
110,8
111,8
112,1
113,1
114,1
115,6
116,6
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,7
126,7
127,7
128,7
129,7
130,1
131,1
132,1
133,1
134,1
135,8
136,8
137,1
138,1
139,1
140,7
141,7
142,7
143,7
144,7
145,1
146,1
147,1
148,1
149,1
150,8
151,8
152,1
153,1
154,1
155,7
156,7
157,7
158,7
159,7
160,1
161,1
162,1
163,1
164,1
165,8
166,8
167,1
168,1
169,1
170,7
171,7
172,7
173,7
174,7
175,1
176,1
177,1
178,1
179,1
180,8
181,8
182,1
183,1
184,1
185,7
186,7
187,7
188,7
189,7
190,1
191,1
192,1
193,1
194,1
195,8
196,8
197,1
198,1
199,1
200,7
201,7
202,7
203,7
204,7
205,1
206,1
207,1
208,1
209,1
210,8
211,8
212,1
213,1
214,1
215,7
216,7
217,7
218,7
219,7
220,1
221,1
222,1
223,1
224,1
225,8
226,8
227,1
228,1
229,1
230,7
231,7
232,7
233,7
234,7
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,7
246,7
247,7
248,7
249,7
250,1
251,1
252,1
253,1
254,1
255,8
256,8
257,1
258,1
259,1
260,7
261,7
262,7
263,7
264,7
265,1
266,1
267,1
268,1
269,1
270,8
271,8
272,1
273,1
274,1
275,7
276,7
277,7
278,7
279,7
280,1
281,1
282,1
283,1
284,1
285,8
286,8
287,1
288,1
289,1
290,7
291,7
292,7
293,7
294,7
295,1
296,1
297,1
298,1
299,1
300,8
301,8
302,1
303,1
304,1
305,7
306,7
307,7
308,7
309,7
310,1
311,1
312,1
313,1
314,1
315,8
316,8
317,1
318,1
319,1
320,7
321,7
322,7
323,7
324,7
325,1
326,1
327,1
328,1
329,1
330,8
331,8
332,1
333,1
334,1
335,7
336,7
337,7
338,7
339,7
340,1
341,1
342,1
343,1
344,1
345,8
346,8
347,1
348,1
349,1
350,7
351,7
352,7
353,7
354,7
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,6
366,6
367,1
368,1
369,1
370,8
371,8
372,1
373,1
374,1
375,6
376,6
377,1
378,1
379,1
380,8
381,8
382,1
383,1
384,1
385,6
386,6
387,1
388,1
389,1
390,8
391,8
392,1
393,1
394,1
395,6
396,6
397,1
398,1
399,1
400,8
401,8
402,1
403,1
404,1
405,6
406,6
407,1
408,1
409,1
410,8
411,8
412,1
413,1
414,1
415,6
416,6
417,1
418,1
419,1
420,8
421,8
422,1
423,1
424,1
425,6
426,6
427,1
428,1
429,1
430,8
431,8
432,1
433,1
434,1
435,6
436,6
437,1
438,1
439,1
440,8
441,8
442,1
443,1
444,1
445,6
446,6
447,1
448,1
449,1
450,8
451,8
452,1
453,1
454,1
455,6
456,6
457,1
458,1
459,1
460,8
461,8
462,1
463,1
464,1
465,6
466,6
467,1
468,1
469,1
470,8
471,8
472,1
473,1
474,1
475,6
476,6
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,6
486,6
487,1
488,1
489,1
490,8
491,8
492,1
493,1
494,1
495,7
496,7
497,7
498,7
499,7
500,1
501,1
502,1
503,1
504,1
505,8
506,8
507,1
508,1
509,1
510,6
511,6
512,1
513,1
514,1
515,8
516,8
517,1
518,1
519,1
520,7
521,7
522,7
523,7
524,7
525,1
526,1
527,1
528,1
529,1
530,8
531,8
532,1
533,1
534,1
535,6
536,6
537,1
538,1
539,1
540,8
541,8
542,1
543,1
544,1
545,7
546,7
547,7
548,7
549,7
550,1
551,1
552,1
553,1
554,1
555,8
556,8
557,1
558,1
559,1
560,6
561,6
562,1
563,1
564,1
565,8
566,8
567,1
568,1
569,1
570,7
571,7
572,7
573,7
574,7
575,1
576,1
577,1
578,1
579,1
580,8
581,8
582,1
583,1
584,1
585,6
586,6
587,1
588,1
589,1
590,8
591,8
592,1
593,1
594,1
595,7
596,7
597,7
598,7
599,7
